,ID,topic
0,20231124_IHC_BG_35.txt,"Israel-Hamas conflict, Migration"
1,20231208_URW_BG_71.txt,"URW, Defense"
2,20231208_URW_BG_72.txt,"URW, Defense"
3,20231208_URW_BG_73.txt,URW
4,20231208_URW_BG_74.txt,"URW, Defense"
5,20231208_URW_BG_75.txt,"URW, Defense"
6,20231208_URW_BG_76.txt,"URW, Defense"
7,20231208_URW_BG_77.txt,"URW, External affairs"
8,20231208_URW_BG_78.txt,"URW, Defense"
9,20240111_SHG_BG_61.txt,"Schengen, EU"
10,20240111_SHG_BG_62.txt,Schengen
11,20240112_SHG_BG_60.txt,"Schengen, Migration, EU"
12,20240216_URW_BG_88.txt,"URW, EU"
13,20240216_URW_BG_89.txt,URW
14,20240216_URW_BG_90.txt,URW
15,20240216_URW_BG_91.txt,URW
16,20240216_URW_BG_92.txt,"URW, External affairs"
17,20240216_URW_BG_93.txt,"URW, Demographic"
18,20240216_URW_BG_94.txt,URW
19,20240216_URW_BG_95.txt,URW
20,20240221_URW_BG_87.txt,URW
21,20240228_URW_BG_85.txt,"URW, Migration"
22,20240228_URW_BG_86.txt,URW
23,20240229_URW_BG_67.txt,"URW, EU"
24,20240229_URW_BG_68.txt,URW
25,20240229_URW_BG_69.txt,URW
26,20240229_URW_BG_70.txt,"URW, Defense"
27,20240301_SHG_BG_56.txt,"Schengen, Migration"
28,20240301_SHG_BG_57.txt,"Schengen, Migration"
29,20240301_SHG_BG_58.txt,"Schengen, Migration"
30,20240301_SHG_BG_59.txt,"Schengen, Migration"
31,20240321_URW_BG_65.txt,URW
32,20240321_URW_BG_66.txt,URW
33,20240321_URW_BG_81.txt,URW
34,20240321_URW_BG_82.txt,URW
35,20240321_URW_BG_83.txt,URW
36,20240321_URW_BG_84.txt,URW
37,20240327_EUZ_BG_96.txt,EU
38,20240327_EUZ_BG_97.txt,EU
39,20240327_EUZ_BG_98.txt,EU
40,20240329_URW_BG_80.txt,URW
41,20240405_IHC_BG_34.txt,Israel-Hamas conflict
42,20240417_URW_BG_79.txt,URW
43,20240430_EUZ_BG_39.txt,EU
44,20240430_GW_BG_38.txt,Climate change
45,20240627_EUZ_BG_63.txt,EU
46,20240627_EUZ_BG_64.txt,EU
47,20240704_URW_BG_20.txt,URW
48,20240704_URW_BG_21.txt,"URW, Defense"
49,20240704_URW_BG_22.txt,"URW, Defense"
50,20240704_URW_BG_23.txt,URW
51,20240704_URW_BG_24.txt,URW
52,20240704_URW_BG_25.txt,URW
53,20240704_URW_BG_26.txt,"URW, Defense"
54,20240704_URW_BG_27.txt,"URW, Defense"
55,20240704_URW_BG_28.txt,"URW, Defense"
56,20240704_URW_BG_29.txt,"URW, Defense"
57,20240704_URW_BG_30.txt,"URW, Defense"
58,20240726_EUZ_BG_49.txt,EU
59,20240726_EUZ_BG_50.txt,EU
60,20240726_EUZ_BG_51.txt,EU
61,20240726_EUZ_BG_52.txt,EU
62,20240726_EUZ_BG_53.txt,EU
63,20240726_EUZ_BG_54.txt,EU
64,20240726_EUZ_BG_55.txt,EU
65,20240726_EUZ_BG_56.txt,EU
66,20240801_GW_BG_37.txt,Climate change
67,20240807_EUZ_BG_48.txt,EU
68,20240904_EUZ_BG_40.txt,EU
69,20240904_EUZ_BG_41.txt,EU
70,20240904_EUZ_BG_42.txt,EU
71,20240904_EUZ_BG_43.txt,EU
72,20240904_EUZ_BG_44.txt,EU
73,20240904_EUZ_BG_45.txt,EU
74,20240904_EUZ_BG_46.txt,EU
75,20240904_EUZ_BG_47.txt,EU
76,20240918_IHC_BG_36.txt,EU
77,trail_BG_1.txt,Other
78,trail_BG_2.txt,Other
79,trail_raw_BG_13.txt,Other
80, trail_raw_BG_7.txt,Other
